"Area","Year","Total","Male","Female","Other"
"Afghanistan","2020",5.76,5.173,11.651,
"Angola","2024",2.038,2.159,1.776,
"Albania","2018",5.566,5.755,5.356,
"Argentina","2024",8.206,8.44,7.939,
"Armenia","2017",3.561,3.972,3.123,
"Antigua and Barbuda","2018",6.734,7.372,6.115,
"Austria","2021",29.163,31.593,25.919,
"Burundi","2020",0.631,0.674,0.554,
"Belgium","2018",23.529,24.51,21.828,
"Benin","2011",2.494,2.394,2.821,
"Burkina Faso","2024",2.855,3.067,2.452,
"Bangladesh","2024",2.238,2.291,1.958,1.546
"Bulgaria","2018",8.014,9.35,8.014,
"Bahamas","2019",25.159,24.892,25.419,
"Bosnia and Herzegovina","2024",12.312,12.617,11.825,
"Belize","2021",4.823,4.685,5.208,
"Bolivia (Plurinational State of)","2024",10.145,10.338,9.887,
"Brazil","2024",7.746,8.075,7.363,
"Brunei Darussalam","2017",13.273,13.288,13.243,
"Bhutan","2022",5.012,5.004,5.032,
"Botswana","2024",7.012,7.447,6.631,
"Canada","2025",33.041,34.904,30.985,
"Switzerland","2024",35.861,38.29,33.187,
"Chile","2024",12.712,13.653,11.433,
"Côte d'Ivoire","2019",4.508,4.816,3.522,
"Congo, Democratic Republic of the","2016",3.204,3.085,3.61,
"Congo","2009",1.944,1.828,2.03,
"Colombia","2025",6.009,5.89,6.162,
"Comoros","2021",4.203,4.099,4.578,
"Costa Rica","2025",9.611,9.177,10.223,
"Curaçao","2018",48.398,50.641,46.617,
"Cyprus","2018",16.397,17.887,16.397,
"Czechia","2021",15.818,16.953,14.431,
"Germany","2022",34.646,36.189,31.337,
"Denmark","2014",14.083,15.384,12.931,
"Dominican Republic","2024",6.943,6.96,6.924,
"Ecuador","2025",7.704,7.474,8.156,
"Egypt","2024",4.734,4.774,4.514,
"Spain","2021",25.973,25.973,24.445,
"Estonia","2018",11.43,14.696,11.43,
"Ethiopia","2021",1.989,2.148,1.696,
"Finland","2022",26.026,28.677,23.857,
"Fiji","2024",8.94,8.991,8.853,
"France","2020",18.763,19.897,17.597,
"United Kingdom of Great Britain and Northern Ireland","2024",21.767,23.712,19.852,
"Ghana","2024",3.664,3.954,3.192,
"Guinea","2019",4.009,4.182,3.315,
"Gambia","2018",1.559,1.557,1.565,
"Greece","2020",9.619,9.773,9.433,
"Guatemala","2024",6.035,5.919,6.232,
"Guyana","2019",4.204,4.21,4.196,
"Honduras","2025",5.094,4.655,6.014,
"Haiti","2001",,1.165,0.978,
"Hungary","2022",18.145,19.726,16.247,
"Indonesia","2023",3.175,3.322,2.875,
"India","2024",4.307,4.572,3.568,
"Ireland","2018",23.235,24.246,22.225,
"Iraq","2021",5.304,4.915,8.152,
"Iceland","2022",28.038,29.894,26.381,
"Israel","2021",16.304,17.786,14.451,
"Italy","2020",14.83,14.666,15.036,
"Jamaica","2014",3.038,2.943,3.126,
"Jordan","2023",5.539,5.492,5.749,
"Kenya","2019",2.314,2.384,2.191,
"Cambodia","2023",3.602,3.783,3.362,
"Kiribati","2023",5.401,5.327,5.508,
"Republic of Korea","2022",27.579,31.214,22.07,
"Lao People's Democratic Republic","2022",4.262,4.562,3.74,
"Lebanon","2019",8.954,8.134,11.047,
"Liberia","2017",20.013,19.74,20.885,
"Sri Lanka","2023",2.822,2.907,2.704,
"Lesotho","2024",2.62,2.667,2.564,
"Lithuania","2018",10.378,11.081,9.696,
"Luxembourg","2018",26.691,26.691,26.691,
"Latvia","2018",10.602,12.369,10.602,
"Republic of Moldova","2024",5.144,5.228,5.077,
"Madagascar","2015",1.544,1.493,1.634,
"Maldives","2019",6.177,6.537,5.621,
"Mexico","2024",5.267,5.267,5.267,
"Marshall Islands","2019",4.78,4.599,5.2,
"North Macedonia","2018",8.692,9.34,7.912,
"Mali","2023",2.986,3.31,1.922,
"Malta","2018",18.788,20.353,17.222,
"Myanmar","2020",2.937,3.024,2.805,
"Montenegro","2014",9.266,9.653,8.902,
"Mongolia","2024",7.806,8.28,7.292,
"Mauritius","2024",10.463,10.854,10.001,
"Malawi","2013",1.965,2.119,1.72,
"Malaysia","2020",10.179,10.179,10.179,
"Namibia","2018",5.542,5.546,5.537,
"New Caledonia","2017",12.859,12.402,13.41,
"Nigeria","2024",2.059,2.254,1.652,
"Nicaragua","2012",2.549,2.558,2.535,
"Netherlands","2018",21.33,23.7,20.145,
"Norway","2018",27.734,29.674,25.795,
"Nepal","2017",3.671,3.848,3.229,
"Pakistan","2025",2.135,2.128,2.194,
"Panama","2024",10.325,9.816,10.971,
"Peru","2024",5.808,6.018,5.511,
"Philippines","2023",5.433,5.173,5.828,
"Poland","2014",7.151,7.417,6.848,
"Puerto Rico","2020",15.382,15.985,14.779,
"Portugal","2025",14.12,14.706,13.574,
"Paraguay","2024",6.677,6.524,6.885,
"Romania","2021",17.139,17.243,17.023,
"Russian Federation","2021",13.201,15.065,11.493,
"Rwanda","2024",1.97,2.213,1.664,
"Sudan","2022",4.185,4.57,1.714,
"Senegal","2024",4.028,4.182,3.647,
"El Salvador","2024",5.583,5.436,5.82,
"Serbia","2018",8.338,8.712,7.944,
"Slovakia","2022",16.044,17.378,14.692,
"Slovenia","2018",15.562,15.562,14.005,
"Sweden","2022",25.408,26.702,24.056,
"Eswatini","2021",8.305,6.023,10.902,
"Thailand","2024",8.352,8.212,8.511,
"Tajikistan","2009",1.487,1.855,0.804,
"Timor-Leste","2021",5.754,5.511,6.423,
"Tonga","2023",6.423,6.995,5.686,
"Tunisia","2019",6.096,6.075,6.128,
"Türkiye","2024",13.297,13.566,12.76,
"Tanzania, United Republic of","2024",4.252,4.429,3.928,
"Uganda","2021",2.67,3.129,1.617,
"Ukraine","2016",5.356,5.991,4.772,
"Uruguay","2024",10.515,10.557,10.467,
"United States of America","2025",43.487,47.883,38.692,
"Uzbekistan","2022",9.693,10.836,7.875,
"Viet Nam","2024",6.264,6.515,5.949,
"Vanuatu","2010",3.443,3.758,2.91,
"Samoa","2022",6.252,6.368,6.083,
"South Africa","2019",2.762,2.9,2.624,
"Zambia","2024",3.302,3.286,3.338,
