"Area","Year","Total","Male","Female","Other"
"Aruba","2010",1860.382,2061.054,1675.147,
"Afghanistan","2020",836.263,851.284,686.841,
"Angola","2024",359.487,391.584,289.981,
"Albania","2022",1277.859,1316.567,1234.815,
"United Arab Emirates","2009",3017.269,3206.372,2247.971,
"Argentina","2024",1239.126,1418.832,1037.62,
"Armenia","2023",983.062,1185.161,752.997,
"Antigua and Barbuda","2018",1128.264,1212.028,1047.714,
"Australia","2021",3925.805,4547.19,3287.391,
"Austria","2024",6832.273,7982.759,5531.214,
"Azerbaijan","2022",1649.431,1891.717,1287.672,
"Burundi","2020",152.778,162.585,134.878,
"Belgium","2024",8297.119,9135.431,7475.488,
"Benin","2022",411.27,466.549,280.396,
"Burkina Faso","2024",515.977,570.256,411.973,
"Bangladesh","2024",470.333,487.032,383.002,388.866
"Bulgaria","2024",2661.49,2802.134,2507.423,
"Bahrain","2020",1780.188,1694.457,2345.007,
"Bahamas","2023",5092.218,5051.388,5130.709,
"Bosnia and Herzegovina","2024",2088.902,2162.764,1973.12,
"Belize","2020",861.13,861.13,759.821,
"Bermuda","2013",3538.597,3600.312,3464.88,
"Bolivia (Plurinational State of)","2024",1392.267,1527.68,1211.327,
"Brazil","2024",1249.69,1364.293,1117.714,
"Barbados","2016",1116.854,1146.952,1092.404,
"Brunei Darussalam","2014",2375.624,2491.482,2224.156,
"Bhutan","2024",1351.181,1396.585,1219.112,
"Botswana","2024",1232.066,1352.582,1126.574,
"Canada","2025",4746.954,5268.461,4195.702,
"Switzerland","2024",4881.024,5747.339,3948.293,
"Chile","2024",2078.786,2265.195,1834.113,
"China","2022",1434.75,,,
"Côte d'Ivoire","2022",554.816,575.475,498.362,
"Cameroon","2014",556.944,639.909,356.136,
"Congo, Democratic Republic of the","2016",297.621,323.504,209.604,
"Congo","2009",324.31,312.856,332.872,
"Colombia","2025",1125.975,1138.198,1110.524,
"Comoros","2021",461.987,500.356,373.686,
"Cabo Verde","2015",639.102,661.724,612.924,
"Costa Rica","2025",1830.506,1819.176,1846.226,
"Curaçao","2018",1791.206,1948.11,1654.483,
"Cyprus","2024",4509.292,5205.149,3766.073,
"Czechia","2024",3560.779,4031.772,3053.598,
"Germany","2022",6138.439,7189.764,4939.799,
"Djibouti","2017",969.763,967.626,979.191,
"Denmark","2024",5604.801,5983.392,5192.872,
"Dominican Republic","2024",1173.417,1234.999,1111.62,
"Ecuador","2025",1219.372,1197.77,1261.377,
"Egypt","2024",712.555,728.936,622.21,
"Spain","2024",5164.038,5681.712,4613.368,
"Estonia","2024",4064.927,4472.328,3684.936,
"Ethiopia","2021",312.275,343.639,255.973,
"Finland","2024",6252.794,6899.726,5619.177,
"Fiji","2024",1528.57,1540.055,1509.516,
"France","2024",5992.803,6793.856,5185.246,
"United Kingdom of Great Britain and Northern Ireland","2024",3215.054,3729.418,2730.275,
"Georgia","2023",791.899,906.403,686.302,
"Ghana","2024",546.258,599.935,460.202,
"Guinea","2019",586.523,613.118,496.688,
"Gambia","2018",267.582,274.239,251.657,
"Guinea-Bissau","2022",398.306,420.42,337.374,
"Greece","2024",3545.884,3813.715,3225.629,
"Guatemala","2024",1037.935,1102.197,929.3,
"Guam","2016",1858.975,,,
"Guyana","2019",748.834,794.533,683.391,
"Hong Kong, China","2016",2323.573,2788.287,1858.858,
"Honduras","2025",890.92,858.757,959.437,
"Croatia","2024",3963.921,4343.288,3558.733,
"Hungary","2024",1972.608,2098.46,1832.054,
"Indonesia","2023",539.882,584.718,448.734,
"India","2024",1045.971,1137.278,791.474,
"Ireland","2024",5448.459,6249.487,4652.337,
"Iceland","2020",4463.261,4957.084,3968.838,
"Israel","2021",2699.581,3242.56,2141.779,
"Italy","2024",5326.467,6007.802,4517.773,
"Jamaica","2014",531.337,532.879,529.918,
"Jordan","2023",1048.491,1051.609,1034.884,
"Japan","2021",2808.732,3081.016,2317.158,
"Kazakhstan","2022",2043.695,2343.317,1752.805,
"Kenya","2019",322.059,338.926,292.817,
"Kyrgyzstan","2022",1079.341,1222.387,972.904,
"Cambodia","2023",759.456,801.826,703.285,
"Kiribati","2023",573.477,563.621,587.727,
"Republic of Korea","2022",4525.448,5227.882,3461.287,
"Kosovo","2019",1186.283,,,
"Kuwait","2016",1828.093,,,
"Lao People's Democratic Republic","2022",674.632,734.75,569.99,
"Lebanon","2019",1571.45,1550.393,1623.821,
"Liberia","2017",3246.188,3122.11,3635.42,
"Saint Lucia","2016",1068.627,1127.843,1007.248,
"Sri Lanka","2023",520.501,558.167,468.993,
"Lesotho","2024",406.295,429.021,379.873,
"Lithuania","2024",4001.18,4396.322,3630.344,
"Luxembourg","2024",9306.956,10356.186,8062.199,
"Latvia","2024",4010.517,4480.178,3588.258,
"Macao, China","2018",2645.292,2846.201,2511.354,
"Republic of Moldova","2024",863.701,915.82,822.887,
"Madagascar","2015",248.475,260.078,228.135,
"Maldives","2019",1140.515,1252.186,968.042,
"Mexico","2024",914.563,979.155,820.802,
"Marshall Islands","2019",803.603,771.38,878.07,
"North Macedonia","2014",1320.372,1378.976,1248.484,
"Mali","2023",516.251,575.625,321.066,
"Malta","2021",5257.122,,,
"Myanmar","2020",431.386,453.648,397.616,
"Montenegro","2022",2163.663,,,
"Mongolia","2024",1482.525,1649.441,1302.422,
"Mauritius","2024",1629.021,1768.362,1465.536,
"Malawi","2013",177.121,202.399,136.852,
"Malaysia","2020",1865.889,1884.974,1837.898,
"Namibia","2018",1008.173,1058.325,950.599,
"New Caledonia","2017",1743.729,1841.821,1625.84,
"Niger","2022",369.316,377.255,337.475,
"Nigeria","2024",288.049,315.343,230.158,
"Nicaragua","2014",947.564,901.997,1033.188,
"Netherlands","2024",7255.122,8469.49,6023.409,
"Norway","2024",5903.447,6400.422,5266.925,
"Nepal","2017",586.489,640.938,449.034,
"New Zealand","2022",4064.155,4640.872,3460.299,
"Pakistan","2025",408.336,418.671,322.112,
"Panama","2024",1727.372,1656.214,1817.811,
"Peru","2024",964.002,1036.675,861.976,
"Philippines","2023",850.866,830.552,881.72,
"Palau","2023",1041.905,990.604,1116.336,
"Poland","2024",3082.053,3294.665,2860.413,
"Puerto Rico","2020",2381.447,2549.976,2212.715,
"Portugal","2025",2076.829,2234.516,1929.526,
"Paraguay","2024",1108.769,1169.803,1026.462,
"Qatar","2022",4225.924,4190.599,4322.715,
"Romania","2024",2940.43,3144.272,2689.677,
"Russian Federation","2021",2222.435,2603.557,1886.74,
"Rwanda","2024",193.281,229.836,147.451,
"Saudi Arabia","2022",3480.078,3551.247,3181.476,
"Sudan","2022",692.78,761.306,305.398,
"Senegal","2024",738.289,818.691,539.681,
"Singapore","2021",4419.631,4603.782,4190.15,
"Solomon Islands","2005",2822.708,3010.512,2370.221,
"El Salvador","2024",1008.64,1024.592,983.15,
"San Marino","2022",2979.155,,,
"Serbia","2024",2107.862,2283.486,1919.927,
"Suriname","2016",884.836,920.602,835.954,
"Slovakia","2024",2450.738,2667.327,2221.296,
"Slovenia","2024",5290.62,5706.491,4836.202,
"Sweden","2024",4600.009,4987.206,4194.535,
"Eswatini","2021",902.724,940.903,859.23,
"Seychelles","2022",1602.598,,,
"Chad","2018",529.902,545.756,439.578,
"Togo","2022",389.256,421.147,296.22,
"Thailand","2024",1509.198,1502.863,1516.351,
"Tajikistan","2019",459.982,,,
"Timor-Leste","2021",578.152,589.933,545.972,
"Tonga","2023",860.168,889.248,823.119,
"Trinidad and Tobago","2016",1276.482,1346.79,1190.288,
"Tunisia","2019",901.806,951.63,826.794,
"Türkiye","2024",2214.414,2310.781,2027.638,
"Tanzania, United Republic of","2024",836.21,878.394,759.234,
"Uganda","2021",439.209,510.732,282.104,
"Ukraine","2022",1540.192,,,
"Uruguay","2024",1636.238,1793.841,1459.544,
"United States of America","2025",6272.925,7206.185,5269.87,
"Uzbekistan","2022",1294.37,1560.803,1030.369,
"Viet Nam","2024",1198.144,1256.907,1124.591,
"Vanuatu","2010",342.319,374.854,287.895,
"Samoa","2022",896.934,887.812,910.197,
"Yemen","2010",541.792,547.121,460.335,
"South Africa","2020",1076.012,1287.744,828.674,
"Zambia","2024",589.198,603.491,558.602,
